Address,Coordinates,City,# Bedrooms,# Bathrooms,Price per bedroom,Price per apartment,Cats ok,Dogs ok,# cafes nearby,# minutes to closest cafe,# restaurants nearby,# minutes to closest restaurant,# shops nearby,# minutes to nearest bus stop,# minutes to nearest T-station,# parks nearby,# minutes to closest drugstore,# minutes to closest urgent care
25 Kirkland St,42.3776° N 71.1134° W,Cambridge,4,2,"$2,150","$8,600",1,0,4,5,4,5,4,3,9,2,6,15
50 Hampshire St,42.3670° N 71.0945° W,Cambridge,1,1,"$2,100","$2,100",0,0,5,2,5,2,5,1,8,3,4,11
150 Cambridge St,42.3718° N 71.0809° W,Cambridge,2,1,"$2,200","$4,400",1,1,5,3,5,2,5,1,6,2,5,9
18 Garden St,42.3768° N 71.1190° W,Cambridge,3,1,"$2,350","$7,050",0,1,5,2,5,2,5,2,5,3,4,10
90 Mount Auburn St,42.3718° N 71.1189° W,Cambridge,2,1,"$2,450","$4,900",1,0,5,1,5,1,7,1,3,2,2,7
350 Broadway,42.3705° N 71.0991° W,Cambridge,4,1,"$2,000","$8,000",1,1,5,3,5,3,5,1,10,3,4,13
250 Putnam Ave,42.3636° N 71.1122° W,Cambridge,1,1,"$2,250","$2,250",0,0,4,4,5,3,4,2,11,2,5,14
15 Inman St,42.3673° N 71.1042° W,Cambridge,3,2,"$2,150","$6,450",1,1,5,2,5,2,5,1,6,3,3,10
75 Concord Ave,42.3801° N 71.1268° W,Cambridge,2,1,"$2,300","$4,600",0,1,4,5,4,4,4,2,12,3,6,16
310 Harvard St,42.3692° N 71.1065° W,Cambridge,4,1,"$2,050","$8,200",1,0,5,3,5,3,5,1,8,2,4,11
60 Magazine St,42.3622° N 71.1030° W,Cambridge,1,1,"$2,200","$2,200",0,0,5,4,5,3,5,2,7,2,5,9
110 Prospect St,42.3688° N 71.0988° W,Cambridge,2,1,"$2,100","$4,200",1,1,5,3,5,2,5,1,8,2,4,12
45 Huron Ave,42.3831° N 71.1303° W,Cambridge,3,1,"$2,250","$6,750",1,0,4,4,4,3,4,1,15,3,6,18
220 Elm St,42.3922° N 71.1164° W,Somerville,2,1,"$1,750","$3,500",0,1,5,2,5,1,5,1,5,3,3,7
150 Highland Ave,42.3888° N 71.0981° W,Somerville,3,1,"$1,600","$4,800",1,1,4,4,5,3,4,1,12,2,5,14
35 Holland St,42.3965° N 71.1242° W,Somerville,1,1,"$1,850","$1,850",0,0,5,1,5,1,6,1,2,2,2,5
85 Summer St,42.3835° N 71.0963° W,Somerville,4,1,"$1,500","$6,000",1,1,4,5,4,4,4,2,15,2,6,17
310 Broadway,42.3934° N 71.0931° W,Somerville,2,1,"$1,650","$3,300",0,1,4,3,4,2,5,1,18,3,4,12
90 Cedar St,42.3927° N 71.1088° W,Somerville,3,2,"$1,700","$5,100",1,0,4,5,4,4,4,2,10,2,6,13
120 Central St,42.3867° N 71.1011° W,Somerville,1,1,"$1,800","$1,800",1,1,4,4,4,4,4,1,14,2,5,16
45 Day St,42.3970° N 71.1255° W,Somerville,2,1,"$1,900","$3,800",0,0,5,1,5,1,6,1,3,2,2,6
205 Somerville Ave,42.3802° N 71.0911° W,Somerville,3,1,"$1,550","$4,650",1,1,4,4,5,3,5,1,12,2,5,11
18 Morrison Ave,42.3951° N 71.1195° W,Somerville,4,2,"$1,650","$6,600",1,0,5,4,5,3,4,2,6,2,5,9
75 College Ave,42.3995° N 71.1211° W,Somerville,2,1,"$1,750","$3,500",0,1,4,5,5,4,4,1,7,3,6,10
140 Willow Ave,42.3968° N 71.1121° W,Somerville,1,1,"$1,700","$1,700",1,1,4,6,4,5,3,2,9,2,7,14
65 Beacon St,42.3809° N 71.1054° W,Somerville,3,1,"$1,650","$4,950",0,0,4,3,5,2,4,1,14,2,4,15
115 Washington St,42.3817° N 71.0845° W,Somerville,2,1,"$1,600","$3,200",1,1,4,4,4,3,5,1,9,3,5,12
1850 Massachusetts Ave,42.3872° N 71.1195° W,Porter Square,2,1,"$2,100","$4,200",1,0,5,1,5,1,7,1,2,2,2,5
15 White St,42.3888° N 71.1191° W,Porter Square,1,1,"$2,200","$2,200",0,1,5,1,5,1,8,1,1,2,1,2
1910 Massachusetts Ave,42.3895° N 71.1213° W,Porter Square,3,1,"$1,950","$5,850",1,1,5,2,5,2,6,1,4,3,3,6
45 Upland Rd,42.3865° N 71.1171° W,Porter Square,4,2,"$1,850","$7,400",0,0,4,4,5,3,5,2,5,2,5,8
12 Roseland St,42.3855° N 71.1189° W,Porter Square,2,1,"$2,050","$4,100",1,1,5,3,5,3,5,2,4,2,4,7
825 Somerville Ave,42.3878° N 71.1155° W,Porter Square,3,1,"$1,900","$5,700",1,0,5,3,5,2,6,1,5,2,4,8
1950 Massachusetts Ave,42.3912° N 71.1228° W,Porter Square,1,1,"$2,150","$2,150",0,1,5,3,5,2,5,1,6,3,4,9
30 Mount Vernon St,42.3861° N 71.1158° W,Porter Square,2,1,"$2,000","$4,000",1,1,4,5,4,4,4,2,7,2,6,11
840 Somerville Ave,42.3884° N 71.1162° W,Porter Square,4,1,"$1,800","$7,200",0,0,5,2,5,2,6,1,4,2,3,7
35 Walden St,42.3862° N 71.1225° W,Porter Square,3,2,"$1,900","$5,700",1,1,4,4,5,4,4,2,6,3,5,10
210 Harvard St,42.3421° N 71.1216° W,Brookline,2,1,"$2,150","$4,300",1,0,5,2,5,1,6,1,3,3,2,6
1410 Beacon St,42.3418° N 71.1205° W,Brookline,3,1,"$2,250","$6,750",0,1,5,1,5,1,7,1,2,3,1,5
55 St Paul St,42.3468° N 71.1165° W,Brookline,1,1,"$2,300","$2,300",1,1,5,4,5,3,5,2,6,2,5,9
115 Babcock St,42.3482° N 71.1215° W,Brookline,4,2,"$1,850","$7,400",0,0,4,5,4,4,4,2,7,2,6,11
75 Freeman St,42.3485° N 71.1182° W,Brookline,2,1,"$2,050","$4,100",1,1,4,6,4,5,4,3,8,3,7,12
1350 Beacon St,42.3425° N 71.1189° W,Brookline,3,1,"$2,200","$6,600",1,0,5,2,5,2,6,1,3,3,3,6
310 Washington St,42.3338° N 71.1205° W,Brookline,1,1,"$2,100","$2,100",0,1,5,3,5,2,5,1,5,3,4,8
85 Pleasant St,42.3470° N 71.1190° W,Brookline,2,1,"$2,150","$4,300",1,1,4,4,5,3,5,2,6,2,5,10
1600 Beacon St,42.3392° N 71.1285° W,Brookline,4,1,"$1,900","$7,600",0,0,5,3,5,2,6,1,4,3,4,9
45 Marion St,42.3429° N 71.1235° W,Brookline,3,2,"$2,000","$6,000",1,1,5,4,5,3,5,2,5,2,5,8
120 Centre St,42.3412° N 71.1238° W,Brookline,2,1,"$2,100","$4,200",1,0,5,3,5,2,5,2,4,3,4,7
70 Cypress St,42.3305° N 71.1195° W,Brookline,1,1,"$2,050","$2,050",0,1,4,4,4,4,4,1,8,4,6,12
210 Brighton Ave,42.3529° N 71.1352° W,Allston,2,1,"$1,500","$3,000",1,1,5,1,5,1,6,1,3,2,2,6
85 Harvard Ave,42.3524° N 71.1315° W,Allston,3,1,"$1,400","$4,200",0,0,5,2,5,1,7,1,2,2,3,5
1250 Commonwealth Ave,42.3498° N 71.1305° W,Allston,1,1,"$1,600","$1,600",1,1,5,3,5,2,6,1,2,2,4,8
35 Brainerd Rd,42.3482° N 71.1350° W,Allston,4,2,"$1,350","$5,400",1,0,4,5,4,4,4,2,5,3,6,11
165 Kelton St,42.3459° N 71.1368° W,Allston,2,1,"$1,450","$2,900",0,1,4,6,4,5,3,3,7,3,8,13
60 Braintree St,42.3551° N 71.1345° W,Allston,3,1,"$1,300","$3,900",1,1,4,4,5,3,4,2,6,2,5,10
1380 Commonwealth Ave,42.3488° N 71.1341° W,Allston,1,1,"$1,550","$1,550",0,0,5,2,5,2,6,1,3,3,3,7
45 Pratt St,42.3546° N 71.1311° W,Allston,4,1,"$1,350","$5,400",1,1,5,4,5,3,5,2,5,2,5,9
115 Glenville Ave,42.3488° N 71.1322° W,Allston,2,1,"$1,450","$2,900",1,0,4,5,4,4,4,2,6,3,6,10
495 Cambridge St,42.3538° N 71.1388° W,Allston,3,2,"$1,400","$4,200",0,1,5,2,5,2,5,1,8,2,3,12
25 Ashford St,42.3530° N 71.1255° W,Allston,1,1,"$1,600","$1,600",1,1,4,6,5,5,4,3,7,2,7,13
150 Linden St,42.3522° N 71.1288° W,Allston,2,1,"$1,450","$2,900",0,0,5,4,5,3,5,2,6,2,5,11
350 Marlborough St,42.3513° N 71.0851° W,Boston,3,1,"$2,450","$7,350",1,1,5,3,5,2,7,2,5,3,4,8
115 Newbury St,42.3508° N 71.0756° W,Boston,1,1,"$2,600","$2,600",0,1,5,1,5,1,8,1,3,2,2,5
62 Pinckney St,42.3586° N 71.0678° W,Boston,2,1,"$2,500","$5,000",1,0,4,4,4,3,4,3,7,3,5,11
145 Charles St,42.3589° N 71.0711° W,Boston,4,2,"$2,400","$9,600",0,0,5,1,5,1,6,1,4,2,2,8
28 Union Park,42.3421° N 71.0722° W,Boston,1,1,"$2,350","$2,350",1,1,5,4,5,3,5,2,8,4,5,12
110 West Brookline St,42.3402° N 71.0745° W,Boston,2,1,"$2,250","$4,500",1,0,4,5,4,4,4,2,9,3,6,13
180 Tremont St,42.3534° N 71.0641° W,Boston,3,1,"$2,400","$7,200",0,1,5,1,5,1,8,1,2,2,2,4
210 Beacon St,42.3539° N 71.0772° W,Boston,4,1,"$2,500","$10,000",1,1,5,3,5,2,6,2,5,3,4,7
245 Newbury St,42.3491° N 71.0825° W,Boston,1,1,"$2,600","$2,600",0,0,5,1,5,1,8,1,3,2,2,6
110 Columbus Ave,42.3478° N 71.0721° W,Boston,2,1,"$2,350","$4,700",1,1,5,2,5,1,6,1,4,3,3,5
45 Chandler St,42.3465° N 71.0715° W,Boston,3,2,"$2,200","$6,600",1,0,5,3,5,2,5,2,5,3,4,7
34 Rutland Sq,42.3391° N 71.0768° W,Boston,4,1,"$2,150","$8,600",0,1,4,5,4,4,3,3,10,3,6,15
160 Mount Vernon St,42.3575° N 71.0715° W,Boston,1,1,"$2,550","$2,550",1,1,5,2,5,2,5,2,6,2,3,9
55 Joy St,42.3591° N 71.0662° W,Boston,2,1,"$2,450","$4,900",0,0,4,4,4,3,4,3,7,3,5,11
220 Boylston St,42.3515° N 71.0682° W,Boston,3,1,"$2,500","$7,500",1,1,5,1,5,1,8,1,2,3,2,4
410 Columbus Ave,42.3441° N 71.0773° W,Boston,4,2,"$2,150","$8,600",1,0,5,3,5,2,5,1,5,2,4,8
40 West Cedar St,42.3585° N 71.0705° W,Boston,1,1,"$2,550","$2,550",0,1,5,2,5,2,5,3,6,2,3,9
115 Brattle St,42.3758° N 71.1265° W,Cambridge,2,1,"$2,350","$4,700",1,1,4,4,4,3,4,2,8,3,6,14
1200 Massachusetts Ave,42.3711° N 71.1152° W,Cambridge,3,1,"$2,400","$7,200",0,0,5,1,5,1,7,1,5,2,2,7
60 Kirkland St,42.3781° N 71.1095° W,Cambridge,4,1,"$2,100","$8,400",1,1,4,6,4,5,4,3,11,2,7,17
120 Hampshire St,42.3695° N 71.0981° W,Cambridge,1,1,"$2,150","$2,150",1,0,5,2,5,2,5,1,9,3,3,10
280 Cambridge St,42.3725° N 71.0851° W,Cambridge,2,1,"$2,250","$4,500",0,1,5,3,5,2,5,1,7,2,4,11
45 Garden St,42.3782° N 71.1215° W,Cambridge,3,2,"$2,300","$6,900",1,1,4,3,4,3,4,2,7,3,5,12
150 Mount Auburn St,42.3725° N 71.1221° W,Cambridge,4,1,"$2,400","$9,600",0,0,5,2,5,1,7,1,4,2,3,8
410 Broadway,42.3712° N 71.1035° W,Cambridge,1,1,"$2,100","$2,100",1,1,4,4,5,3,4,1,9,3,5,12
320 Putnam Ave,42.3645° N 71.1158° W,Cambridge,2,1,"$2,200","$4,400",1,0,4,5,4,4,4,2,12,2,6,15
55 Inman St,42.3685° N 71.1021° W,Cambridge,3,1,"$2,150","$6,450",0,1,5,3,5,2,5,1,7,3,4,11
110 Concord Ave,42.3815° N 71.1295° W,Cambridge,4,2,"$2,250","$9,000",1,1,4,6,4,5,4,2,14,3,7,18
380 Harvard St,42.3705° N 71.1105° W,Cambridge,1,1,"$2,300","$2,300",0,0,5,2,5,2,6,1,6,2,3,9
110 Magazine St,42.3605° N 71.1065° W,Cambridge,2,1,"$2,150","$4,300",1,1,4,5,4,4,4,2,9,2,6,11
180 Prospect St,42.3711° N 71.0965° W,Cambridge,3,1,"$2,100","$6,300",1,0,5,2,5,2,5,1,10,2,3,9
95 Huron Ave,42.3838° N 71.1341° W,Cambridge,4,1,"$2,200","$8,800",0,1,3,6,4,5,3,2,18,3,8,21
280 Elm St,42.3911° N 71.1145° W,Somerville,1,1,"$1,800","$1,800",1,1,5,3,5,2,5,1,7,3,4,9
210 Highland Ave,42.3895° N 71.0965° W,Somerville,2,1,"$1,550","$3,100",0,0,4,5,4,4,4,1,14,2,6,16
75 Holland St,42.3982° N 71.1275° W,Somerville,3,2,"$1,850","$5,550",1,1,5,2,5,2,6,1,4,2,3,7
120 Summer St,42.3841° N 71.0988° W,Somerville,4,1,"$1,450","$5,800",1,0,4,6,4,5,3,2,16,2,7,18
360 Broadway,42.3942° N 71.0905° W,Somerville,1,1,"$1,650","$1,650",0,1,4,4,4,3,4,1,20,3,5,13
140 Cedar St,42.3935° N 71.1065° W,Somerville,2,1,"$1,650","$3,300",1,1,4,6,4,5,3,2,12,2,7,15
180 Central St,42.3882° N 71.0995° W,Somerville,3,1,"$1,750","$5,250",0,0,4,5,4,4,4,1,16,2,6,18
85 Day St,42.3985° N 71.1281° W,Somerville,4,2,"$1,850","$7,400",1,1,5,2,5,2,5,2,5,2,3,8
260 Somerville Ave,42.3811° N 71.0945° W,Somerville,1,1,"$1,600","$1,600",1,0,4,3,5,2,5,1,10,2,4,10
45 Morrison Ave,42.3965° N 71.1171° W,Somerville,2,1,"$1,700","$3,400",0,1,4,5,4,4,4,2,8,2,6,11
110 College Ave,42.4011° N 71.1205° W,Somerville,3,1,"$1,750","$5,250",1,1,4,6,4,5,3,2,9,3,7,12
180 Willow Ave,42.3981° N 71.1105° W,Somerville,4,1,"$1,650","$6,600",0,0,4,7,4,6,3,2,11,2,8,16
95 Beacon St,42.3815° N 71.1075° W,Somerville,1,1,"$1,700","$1,700",1,1,4,4,5,3,4,1,12,2,5,14
160 Washington St,42.3825° N 71.0871° W,Somerville,2,1,"$1,550","$3,100",1,0,4,5,4,4,4,1,11,3,6,14
1880 Massachusetts Ave,42.3881° N 71.1202° W,Porter Square,3,1,"$2,050","$6,150",0,1,5,1,5,1,8,1,1,2,1,4
35 White St,42.3895° N 71.1185° W,Porter Square,4,2,"$2,100","$8,400",1,1,5,2,5,2,7,1,3,2,2,4
1940 Massachusetts Ave,42.3905° N 71.1221° W,Porter Square,1,1,"$2,150","$2,150",0,0,5,2,5,2,6,1,5,3,3,7
65 Upland Rd,42.3855° N 71.1151° W,Porter Square,2,1,"$1,900","$3,800",1,1,4,5,4,4,4,2,7,2,6,10
28 Roseland St,42.3848° N 71.1171° W,Porter Square,3,1,"$2,000","$6,000",1,0,5,4,5,3,5,2,6,2,5,9
850 Somerville Ave,42.3888° N 71.1171° W,Porter Square,4,1,"$1,850","$7,400",0,1,5,1,5,1,7,1,3,2,2,6
1980 Massachusetts Ave,42.3921° N 71.1235° W,Porter Square,1,1,"$2,100","$2,100",1,1,5,3,5,3,5,1,7,3,5,11
50 Mount Vernon St,42.3852° N 71.1141° W,Porter Square,2,1,"$1,950","$3,900",0,0,4,6,4,5,4,2,9,2,7,13
870 Somerville Ave,42.3895° N 71.1185° W,Porter Square,3,2,"$1,900","$5,700",1,1,5,1,5,1,8,1,2,2,1,4
55 Walden St,42.3855° N 71.1245° W,Porter Square,4,1,"$1,850","$7,400",1,0,4,5,4,4,4,2,8,3,6,12
260 Harvard St,42.3435° N 71.1216° W,Brookline,1,1,"$2,200","$2,200",0,1,5,1,5,1,7,1,2,3,1,5
1450 Beacon St,42.3411° N 71.1221° W,Brookline,2,1,"$2,250","$4,500",1,1,5,2,5,1,6,1,3,3,2,6
85 St Paul St,42.3482° N 71.1158° W,Brookline,3,1,"$2,200","$6,600",0,0,4,5,4,4,4,2,8,2,6,11
145 Babcock St,42.3495° N 71.1215° W,Brookline,4,2,"$1,900","$7,600",1,1,4,6,4,5,4,2,9,2,7,13
110 Freeman St,42.3491° N 71.1165° W,Brookline,1,1,"$2,100","$2,100",1,0,4,5,4,4,4,3,10,3,6,11
1390 Beacon St,42.3421° N 71.1201° W,Brookline,2,1,"$2,300","$4,600",0,1,5,1,5,1,7,1,2,3,1,4
350 Washington St,42.3325° N 71.1205° W,Brookline,3,1,"$2,050","$6,150",1,1,5,2,5,2,5,1,6,3,3,7
120 Pleasant St,42.3485° N 71.1185° W,Brookline,4,1,"$2,100","$8,400",0,0,4,5,4,4,4,2,8,2,6,12
1640 Beacon St,42.3385° N 71.1305° W,Brookline,1,1,"$2,000","$2,000",1,1,5,4,5,3,5,1,5,3,5,10
75 Marion St,42.3441° N 71.1228° W,Brookline,2,1,"$2,050","$4,100",1,0,5,3,5,2,5,2,6,2,4,7
150 Centre St,42.3425° N 71.1235° W,Brookline,3,2,"$2,150","$6,450",0,1,5,2,5,1,6,2,3,3,3,6
110 Cypress St,42.3291° N 71.1195° W,Brookline,4,1,"$2,000","$8,000",1,1,4,5,4,5,3,1,10,4,7,14
250 Brighton Ave,42.3521° N 71.1375° W,Allston,1,1,"$1,550","$1,550",0,0,5,2,5,2,5,1,5,2,3,8
115 Harvard Ave,42.3511° N 71.1321° W,Allston,2,1,"$1,450","$2,900",1,1,5,1,5,1,7,1,3,2,2,6
1280 Commonwealth Ave,42.3491° N 71.1315° W,Allston,3,1,"$1,550","$4,650",1,0,5,2,5,1,6,1,2,2,3,7
65 Brainerd Rd,42.3475° N 71.1365° W,Allston,4,1,"$1,300","$5,200",0,1,4,6,4,5,4,2,6,3,7,12
195 Kelton St,42.3445° N 71.1381° W,Allston,1,1,"$1,500","$1,500",1,1,4,7,4,6,3,3,9,3,9,15
90 Braintree St,42.3562° N 71.1361° W,Allston,2,1,"$1,350","$2,700",0,0,4,5,4,4,4,2,8,2,6,12
1410 Commonwealth Ave,42.3475° N 71.1365° W,Allston,3,2,"$1,500","$4,500",1,1,5,3,5,2,5,1,4,3,4,9
75 Pratt St,42.3535° N 71.1318° W,Allston,4,1,"$1,300","$5,200",1,0,5,3,5,2,5,2,6,2,4,8
145 Glenville Ave,42.3481° N 71.1338° W,Allston,1,1,"$1,500","$1,500",0,1,4,4,4,3,4,2,5,3,5,9
525 Cambridge St,42.3531° N 71.1411° W,Allston,2,1,"$1,450","$2,900",1,1,5,3,5,2,5,1,9,2,4,13
45 Ashford St,42.3521° N 71.1271° W,Allston,3,1,"$1,550","$4,650",0,0,4,5,5,4,4,3,6,2,6,12
180 Linden St,42.3511° N 71.1301° W,Allston,4,2,"$1,400","$5,600",1,1,5,3,5,2,6,2,5,2,4,10
312 Marlborough St,42.3518° N 71.0842° W,Boston,1,1,"$2,600","$2,600",1,0,5,2,5,2,8,1,4,3,3,7
140 Newbury St,42.3503° N 71.0768° W,Boston,2,1,"$2,550","$5,100",0,1,5,1,5,1,8,1,3,2,2,5
85 Pinckney St,42.3582° N 71.0688° W,Boston,3,1,"$2,450","$7,350",1,1,4,4,4,3,4,3,7,3,5,11
90 Charles St,42.3571° N 71.0701° W,Boston,4,2,"$2,350","$9,400",0,0,5,1,5,1,7,1,5,2,2,9
15 Union Park,42.3431° N 71.0715° W,Boston,1,1,"$2,300","$2,300",1,1,5,3,5,2,5,2,9,4,4,11
140 West Brookline St,42.3418° N 71.0761° W,Boston,2,1,"$2,200","$4,400",1,0,4,5,5,3,4,2,8,3,6,13
120 Tremont St,42.3551° N 71.0625° W,Boston,3,2,"$2,450","$7,350",0,1,5,1,5,1,8,1,2,2,2,4
310 Beacon St,42.3528° N 71.0805° W,Boston,4,1,"$2,500","$10,000",1,1,5,3,5,2,6,2,5,2,4,8
210 Newbury St,42.3495° N 71.0808° W,Boston,1,1,"$2,600","$2,600",0,0,5,1,5,1,8,1,3,2,2,6
85 Columbus Ave,42.3484° N 71.0708° W,Boston,2,1,"$2,350","$4,700",1,1,5,2,5,1,6,1,4,3,3,5
60 Chandler St,42.3461° N 71.0725° W,Boston,3,1,"$2,150","$6,450",1,0,5,3,5,2,5,2,5,2,4,7
45 Rutland Sq,42.3388° N 71.0762° W,Boston,4,2,"$2,100","$8,400",0,1,4,4,4,4,4,3,10,3,5,14
140 Mount Vernon St,42.3573° N 71.0705° W,Boston,1,1,"$2,550","$2,550",1,1,5,2,5,2,5,2,6,2,4,10
40 Joy St,42.3586° N 71.0658° W,Boston,2,1,"$2,450","$4,900",0,0,4,4,4,3,4,3,7,3,5,11
180 Boylston St,42.3518° N 71.0674° W,Boston,3,2,"$2,500","$7,500",1,1,5,1,5,1,8,1,2,3,2,4
380 Columbus Ave,42.3446° N 71.0762° W,Boston,4,1,"$2,200","$8,800",1,0,5,3,5,2,5,1,5,2,4,7
25 West Cedar St,42.3582° N 71.0702° W,Boston,1,1,"$2,550","$2,550",0,1,5,2,5,2,5,3,6,2,3,9
100 Brattle St,42.3755° N 71.1255° W,Cambridge,2,1,"$2,350","$4,700",1,1,5,3,5,2,5,2,7,3,6,13
1120 Massachusetts Ave,42.3699° N 71.1135° W,Cambridge,3,1,"$2,400","$7,200",0,0,5,1,5,1,7,1,6,2,2,8
40 Kirkland St,42.3778° N 71.1114° W,Cambridge,4,2,"$2,150","$8,600",1,1,4,5,4,5,4,3,10,2,6,16
85 Hampshire St,42.3682° N 71.0963° W,Cambridge,1,1,"$2,100","$2,100",1,0,5,2,5,2,5,1,8,3,4,10
210 Cambridge St,42.3721° N 71.0830° W,Cambridge,2,1,"$2,250","$4,500",0,1,5,3,5,2,5,1,6,2,5,10
30 Garden St,42.3775° N 71.1202° W,Cambridge,3,1,"$2,300","$6,900",1,1,5,2,5,2,5,2,6,3,4,11
120 Mount Auburn St,42.3721° N 71.1205° W,Cambridge,4,1,"$2,450","$9,800",0,0,5,1,5,1,7,1,3,2,2,7
380 Broadway,42.3708° N 71.1013° W,Cambridge,1,1,"$2,050","$2,050",1,1,5,3,5,3,4,1,9,3,4,12
280 Putnam Ave,42.3640° N 71.1140° W,Cambridge,2,1,"$2,200","$4,400",1,0,4,4,5,3,4,2,11,2,5,14
35 Inman St,42.3679° N 71.1031° W,Cambridge,3,2,"$2,150","$6,450",0,1,5,2,5,2,5,1,6,3,3,10
90 Concord Ave,42.3808° N 71.1281° W,Cambridge,4,1,"$2,300","$9,200",1,1,4,5,4,4,4,2,13,3,6,17
345 Harvard St,42.3698° N 71.1085° W,Cambridge,1,1,"$2,100","$2,100",0,0,5,2,5,3,5,1,7,2,4,10
85 Magazine St,42.3613° N 71.1047° W,Cambridge,2,1,"$2,150","$4,300",1,1,4,4,5,3,5,2,8,2,5,10
145 Prospect St,42.3699° N 71.0976° W,Cambridge,3,1,"$2,100","$6,300",1,0,5,3,5,2,5,1,9,2,4,11
70 Huron Ave,42.3834° N 71.1322° W,Cambridge,4,2,"$2,200","$8,800",0,1,4,5,4,4,4,1,16,3,7,19
250 Elm St,42.3916° N 71.1154° W,Somerville,1,1,"$1,750","$1,750",1,1,5,2,5,1,5,1,6,3,4,8
180 Highland Ave,42.3891° N 71.0973° W,Somerville,2,1,"$1,600","$3,200",0,0,4,4,5,3,4,1,13,2,5,15
55 Holland St,42.3973° N 71.1258° W,Somerville,3,1,"$1,850","$5,550",1,1,5,1,5,1,6,1,3,2,2,6
100 Summer St,42.3838° N 71.0975° W,Somerville,4,2,"$1,500","$6,000",1,0,4,5,4,4,4,2,15,2,6,17
335 Broadway,42.3938° N 71.0918° W,Somerville,1,1,"$1,650","$1,650",0,1,4,3,4,2,5,1,19,3,5,12
115 Cedar St,42.3931° N 71.1076° W,Somerville,2,1,"$1,650","$3,300",1,1,4,5,4,4,4,2,11,2,6,14
150 Central St,42.3874° N 71.1003° W,Somerville,3,1,"$1,750","$5,250",0,0,4,4,4,4,4,1,15,2,5,17
65 Day St,42.3977° N 71.1268° W,Somerville,4,1,"$1,900","$7,600",1,1,5,1,5,1,6,1,4,2,2,7
230 Somerville Ave,42.3806° N 71.0928° W,Somerville,1,1,"$1,550","$1,550",1,0,4,4,5,2,5,1,11,2,4,10
30 Morrison Ave,42.3958° N 71.1183° W,Somerville,2,1,"$1,700","$3,400",0,1,5,4,5,3,4,2,7,2,5,10
90 College Ave,42.4003° N 71.1208° W,Somerville,3,2,"$1,750","$5,250",1,1,4,5,5,4,4,1,8,3,6,11
160 Willow Ave,42.3974° N 71.1113° W,Somerville,4,1,"$1,650","$6,600",0,0,4,6,4,5,3,2,10,2,7,15
80 Beacon St,42.3812° N 71.1064° W,Somerville,1,1,"$1,650","$1,650",1,1,4,3,5,2,4,1,13,2,4,14
